Timestamp                       Thread     Type        Activity             PID    TTL  
2023-03-01 17:01:17.323881+0800 0x29729b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:01:17.424849+0800 0x29729b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:32.665056+0800 0x28f437   Default     0x0                  14529  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 17:04:32.917729+0800 0x29abce   Default     0x0                  15655  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 17:04:32.921535+0800 0x29abce   Default     0x0                  15655  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 17:04:33.051334+0800 0x29abbb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:33.061878+0800 0x29abbb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:33.067413+0800 0x29abbb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:33.083910+0800 0x29abbb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:33.085803+0800 0x29abbb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:33.091423+0800 0x29abbb   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:33.610898+0800 0x29abce   Default     0x0                  15655  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 17:04:33.827022+0800 0x29abe9   Default     0x2a053e             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:04:33.829838+0800 0x29abe9   Default     0x2a053e             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:49:04.305282+0800 0x29d47d   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:49:04.335067+0800 0x29d47d   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:49:05.492132+0800 0x29d47d   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 17:49:05.673294+0800 0x29d47d   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 18:48:30.586705+0800 0x2a353b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 18:48:30.735023+0800 0x2a353b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 18:48:32.251065+0800 0x2a353b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 18:48:32.458788+0800 0x2a353b   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 18:56:52.642493+0800 0x29abce   Default     0x0                  15655  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 19:15:30.886639+0800 0x29abce   Default     0x0                  15655  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 19:15:31.120896+0800 0x2a8538   Default     0x0                  17146  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 19:15:31.123897+0800 0x2a8538   Default     0x0                  17146  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 19:15:31.282036+0800 0x2a852c   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:15:31.290969+0800 0x2a852c   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:15:31.300440+0800 0x2a852c   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:15:31.308767+0800 0x2a852c   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:15:31.309945+0800 0x2a852c   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:15:31.313041+0800 0x2a852c   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:15:31.704460+0800 0x2a8538   Default     0x0                  17146  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 19:15:31.894645+0800 0x2a852d   Default     0x2de9c1             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:15:31.912493+0800 0x2a852d   Default     0x2de9c1             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:45.433837+0800 0x2a8538   Default     0x0                  17146  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 19:43:45.694426+0800 0x2ad367   Default     0x0                  17564  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 19:43:45.696201+0800 0x2ad367   Default     0x0                  17564  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 19:43:45.836635+0800 0x2acfef   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:45.862855+0800 0x2acfef   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:45.868387+0800 0x2acfef   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:45.885836+0800 0x2acfef   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:45.887487+0800 0x2acfef   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:45.892954+0800 0x2acfef   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:46.264295+0800 0x2ad367   Default     0x0                  17564  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 19:43:46.466399+0800 0x2ad358   Default     0x2de9c4             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 19:43:46.468710+0800 0x2ad358   Default     0x2de9c4             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
